year,transect,site,treat,plot,Source,plant,tbo,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,HB,L,TR,5,M,5.5,0,14,6,5.5,NA,33,0,HB.L.5,HB.L.5.M
2011,HB,L,TR,6,H,1.1,0,7,2,0.5,NA,1,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,1.4,0,6,2,3,NA,6,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,1.5,0,7,2,1,NA,2,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,2.3,0,7,1,6,NA,6,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,2.4,0,6,1,1,NA,1,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,2.5,0,6,1,1,NA,1,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,3.3,0,7,1,3,NA,3,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,4.3,0,8,1,1,NA,1,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,4.4,0,6,1,3,NA,3,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,5.2,0,7,2,3.5,NA,7,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,5.3,0,8,3,3,NA,9,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,5.4,0,7,1,8,NA,8,0,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,H,5.5,0,8,2,5.5,NA,11,1,HB.L.6,HB.L.6.H
2011,HB,L,TR,6,L,3.5,0,15,7,2.571428571,NA,18,21,HB.L.6,HB.L.6.L
2011,HB,L,TR,6,L,4.1,0,12,2,5.5,NA,11,0,HB.L.6,HB.L.6.L
2011,HB,L,TR,6,L,4.4,0,16,2,13,NA,26,0,HB.L.6,HB.L.6.L
2011,HB,L,TR,6,L,5.2,0,15,5,9.8,NA,49,0,HB.L.6,HB.L.6.L
2011,HB,L,TR,6,L,5.3,0,12,3,3,NA,9,0,HB.L.6,HB.L.6.L
2011,HB,L,TR,6,M,1.1,0,12,5,7.2,NA,36,1,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,1.4,0,13,4,8.75,NA,35,2,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,1.5,0,14,6,11.16666667,NA,67,1,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,2.1,0,11,4,8.75,NA,35,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,2.5,0,11,3,9.333333333,NA,28,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,3.1,0,11,2,5,NA,10,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,3.3,0,10,4,7.5,NA,30,1,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,4.1,0,13,3,6,NA,18,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,4.2,0,12,5,9.6,NA,48,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,4.3,0,15,3,4.666666667,NA,14,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,5.2,0,9,3,7.666666667,NA,23,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,5.3,0,10,4,11.5,NA,46,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,6,M,5.5,0,11,2,7,NA,14,0,HB.L.6,HB.L.6.M
2011,HB,L,TR,7,H,1.3,0,17,8,11.5,NA,92,0,HB.L.7,HB.L.7.H
