transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,L,2012,23,H,2014,2,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2012,24,M,2014,2,dormant,25,20,1,0,0,1,138,keep
NK,L,2012,25,L,2014,2,dormant,25,18,1,1,1,4,161,keep
NK,L,2012,25,M,2014,2,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2012,25,H,2014,2,dormant,25,22,1,1,0,0,138,excl
NK,M,2010,5,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,M,2010,6,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,M,2010,6,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,M,2010,7,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,M,2010,9,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,M,2011,11,L,2013,2,dormant,25,9,1,0,0,1,163,keep
NK,M,2011,14,M,2013,2,dormant,25,12,3,0,0,1,163,keep
NK,M,2011,14,H,2013,2,dormant,25,16,0,NA,NA,NA,NA,keep
NK,M,2011,15,M,2013,2,dormant,25,14,0,NA,NA,NA,NA,keep
NK,M,2011,15,M,2014,3,dormant,25,14,0,NA,NA,NA,NA,keep
NK,M,2011,16,M,2013,2,dormant,25,12,2,0,0,4.5,183.5,keep
NK,M,2011,16,H,2013,2,dormant,25,20,3,1,0,2.666666667,172,excl
NK,M,2011,17,M,2013,2,dormant,25,14,9,2,1,1.111111111,163,keep
NK,M,2011,17,M,2014,3,dormant,25,5,0,NA,NA,NA,NA,keep
NK,M,2011,19,L,2013,2,dormant,25,6,2,0,0,1.5,166,keep
NK,M,2011,19,L,2014,3,dormant,25,4,0,NA,NA,NA,NA,keep
NK,M,2011,19,M,2013,2,dormant,25,21,13,3,0,2,168.4615385,keep
NK,M,2011,19,H,2013,2,dormant,25,19,11,8,6,1.454545455,166.2727273,keep
NK,M,2011,20,M,2013,2,dormant,25,20,0,NA,NA,NA,NA,keep
NK,M,2011,20,H,2013,2,dormant,25,21,3,0,0,0.666666667,168,keep
NK,M,2011,22,M,2013,2,dormant,25,21,6,4,4,1.833333333,163,keep
NK,M,2011,22,H,2013,2,dormant,25,14,1,0,0,3,169,excl
NK,M,2011,23,L,2013,2,dormant,25,13,0,NA,NA,NA,NA,keep
NK,M,2011,23,L,2014,3,dormant,25,13,1,0,0,3,173,keep
NK,M,2011,23,M,2013,2,dormant,25,16,2,0,0,3,163,keep
NK,M,2011,23,M,2014,3,dormant,25,14,0,NA,NA,NA,NA,keep
NK,M,2011,23,H,2013,2,dormant,25,22,1,1,0,3,169,keep
NK,M,2011,23,H,2014,3,dormant,25,21,0,NA,NA,NA,NA,keep
NK,M,2011,24,M,2013,2,dormant,25,22,3,2,1,1.333333333,163,keep
NK,M,2011,24,H,2013,2,dormant,25,15,4,1,1,1.75,163,keep
NK,M,2011,25,L,2013,2,dormant,25,20,0,NA,NA,NA,NA,keep
NK,M,2011,25,L,2014,3,dormant,25,20,1,1,NA,3,173,keep
NK,M,2011,25,M,2013,2,dormant,25,21,1,1,1,1,163,keep
NK,M,2011,25,M,2014,3,dormant,25,20,2,0,0,1,161,keep
NK,M,2011,25,H,2013,2,dormant,25,22,3,0,0,2,168,keep
NK,M,2011,25,H,2014,3,dormant,25,19,2,1,0,1.5,167,keep
NK,M,2011,26,M,2013,2,dormant,25,17,0,NA,NA,NA,NA,keep
NK,M,2011,26,H,2013,2,dormant,25,12,3,2,2,3,169,keep
NK,M,2011,27,L,2013,2,dormant,25,12,1,0,0,1,163,excl
NK,M,2011,27,L,2014,3,dormant,25,11,1,0,0,1,161,excl
NK,M,2011,27,H,2013,2,dormant,25,18,1,0,0,4,178,excl
NK,M,2011,27,H,2014,3,dormant,25,17,0,NA,NA,NA,NA,excl
NK,M,2011,28,M,2013,2,dormant,25,19,1,0,0,2,163,keep
NK,M,2011,28,H,2013,2,dormant,25,16,2,0,0,1,163,excl
NK,M,2011,29,L,2013,2,dormant,25,7,0,NA,NA,NA,NA,excl
NK,M,2011,29,L,2014,3,dormant,25,7,3,2,0,1,161,excl
NK,M,2011,29,M,2013,2,dormant,25,12,1,0,0,1,169,keep
NK,M,2011,29,M,2014,3,dormant,25,11,0,NA,NA,NA,NA,keep
NK,M,2011,29,H,2013,2,dormant,25,14,3,1,1,1.333333333,172,excl
NK,M,2011,29,H,2014,3,dormant,25,11,1,1,NA,10,203,excl
NK,M,2012,31,L,2014,2,dormant,25,6,0,NA,NA,NA,NA,keep
NK,M,2012,31,H,2014,2,dormant,25,8,4,0,0,1,161,keep
NK,M,2012,32,L,2014,2,dormant,25,8,1,0,0,0,161,keep
NK,M,2012,32,M,2014,2,dormant,25,9,1,0,0,1,161,keep
NK,M,2012,32,H,2014,2,dormant,25,11,1,0,0,1,173,keep
NK,M,2012,33,L,2014,2,dormant,25,11,4,1,0,0.5,164,keep
NK,M,2012,33,M,2014,2,dormant,25,10,0,NA,NA,NA,NA,keep
NK,M,2012,33,H,2014,2,dormant,25,19,2,0,0,1.5,167,keep
NK,M,2012,34,L,2014,2,dormant,25,13,0,NA,NA,NA,NA,keep
NK,M,2012,34,M,2014,2,dormant,25,11,0,NA,NA,NA,NA,keep
NK,M,2012,34,H,2014,2,dormant,25,13,3,0,0,1.333333333,169,keep
NK,M,2012,35,L,2014,2,dormant,25,12,0,NA,NA,NA,NA,keep
NK,M,2012,35,M,2014,2,dormant,25,13,1,0,0,1,161,keep
NK,M,2012,35,H,2014,2,dormant,25,16,1,0,0,1,161,keep
NK,HE,2010,1,L,2012,2,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2010,1,M,2012,2,dormant,25,16,0,NA,NA,NA,NA,keep
NK,HE,2010,1,H,2012,2,dormant,25,11,0,NA,NA,NA,NA,keep
NK,HE,2010,1,E,2012,2,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2010,1,F,2012,2,dormant,25,11,2,2,1,9.5,242,keep
NK,HE,2010,1,MT,2012,2,dormant,25,15,2,2,2,9,242,keep
NK,HE,2010,2,L,2012,2,dormant,25,13,0,NA,NA,NA,NA,keep
NK,HE,2010,2,M,2012,2,dormant,25,18,0,NA,NA,NA,NA,keep
NK,HE,2010,2,M,2013,3,dormant,25,18,1,0,0,1,169,keep
NK,HE,2010,2,H,2012,2,dormant,25,8,0,NA,NA,NA,NA,keep
NK,HE,2010,2,H,2013,3,dormant,25,8,0,NA,NA,NA,NA,keep
NK,HE,2010,2,E,2012,2,dormant,25,22,0,NA,NA,NA,NA,keep
NK,HE,2010,2,E,2013,3,dormant,25,22,1,0,0,3,186,keep
NK,HE,2010,2,F,2012,2,dormant,25,6,0,NA,NA,NA,NA,keep
NK,HE,2010,2,MT,2012,2,dormant,25,19,0,NA,NA,NA,NA,excl
NK,HE,2010,3,L,2012,2,dormant,25,11,0,NA,NA,NA,NA,keep
NK,HE,2010,3,M,2012,2,dormant,25,11,0,NA,NA,NA,NA,excl
NK,HE,2010,3,H,2012,2,dormant,25,16,0,NA,NA,NA,NA,keep
NK,HE,2010,3,E,2012,2,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2010,3,E,2013,3,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2010,3,F,2012,2,dormant,25,17,0,NA,NA,NA,NA,keep
NK,HE,2010,3,MT,2012,2,dormant,25,14,0,NA,NA,NA,NA,keep
NK,HE,2010,4,L,2012,2,dormant,25,7,0,NA,NA,NA,NA,keep
NK,HE,2010,4,L,2013,3,dormant,25,7,0,NA,NA,NA,NA,keep
NK,HE,2010,4,M,2012,2,dormant,25,11,0,NA,NA,NA,NA,excl
